trdmn,mkt_rf,smb,hml,rmw,cma
200412,-0.070649653,-0.021369973,0.004791416,0.038979294,-0.027507977
200501,-0.059441081,-0.011125123,-0.003726174,0.027380585,-0.013009866
200502,0.093392464,0.012753471,0.009082149,-0.014275869,-0.0126543
200503,-0.107158416,-0.025123379,0.00110529,0.056547171,-0.030502335
200504,-0.038247142,-0.049412492,0.026097702,0.076353509,-0.021764929
200505,-0.071624266,0.039294185,-0.01408165,-0.067923664,0.037251192
200506,0.007557925,-0.017135799,0.000241218,0.038607404,-0.000028072
200507,-0.021646262,-0.083741227,-0.001992934,0.085228151,-0.04821639
200508,0.088256271,0.111117962,-0.01303992,-0.108049169,0.05004205
200509,0.005055211,0.022392604,-0.017468322,0.005518296,-0.011279694
200510,-0.055490089,-0.01576034,-0.010681784,0.019448327,-0.016556986
200511,-0.005967713,0.035894151,0.013486205,-0.029447597,0.011030296
200512,0.050333511,-0.055845229,0.014249437,0.041570139,-0.040634145
200601,0.094059585,-0.0243118,0.017890832,0.003786806,-0.032303802
200602,0.027767026,0.001217118,0.015528741,0.004905377,-0.007315155
200603,0.018882999,-0.020187539,-0.00388034,0.030613245,-0.036058363
200604,0.111597413,-0.047617275,-0.001760774,0.004622147,-0.011066904
200605,0.209750472,0.081507857,0.026935967,-0.109722357,0.051170067
200606,0.04319958,0.031761653,0.011504104,-0.022352171,0.044492685
200607,-0.056830078,0.058127912,-0.002919451,-0.031236023,0.02494249
200608,0.030147268,-0.007378182,-0.006413585,-0.000655349,-0.007985091
200609,0.039763511,0.02529122,-0.019467385,-0.02243544,0.014628167
200610,0.012598945,-0.019977484,0.012920512,0.04655449,-0.016397836
200611,0.108388587,-0.116265669,-0.010197309,0.117087925,-0.080120959
200612,0.115284536,-0.094675107,0.010895051,0.083869079,-0.029946315
200701,0.207834738,0.057608567,-0.002530154,-0.072868822,0.029077509
200702,0.127176968,0.09654365,0.077530568,-0.127440939,0.104553613
200703,0.1242808,0.108685274,0.030173522,-0.080182665,0.033743817
200704,0.315275049,0.052307008,0.101119856,-0.114691981,0.045455444
200705,0.109696902,-0.029421254,-0.000713137,0.03301154,-0.037220128
200706,-0.109027754,-0.112613611,-0.076029196,0.179337256,-0.070659186
200707,0.197901995,0.080856095,0.037349402,-0.047078943,0.021614971
200708,0.135723323,-0.02384085,0.008735107,0.022543011,-0.012233032
200709,0.050078975,-0.011810581,0.042499268,0.045085792,-0.008743658
200710,-0.05288482,-0.070804133,-0.061431588,0.122501536,-0.088574418
200711,-0.142210281,0.098120062,0.035959046,-0.098577123,0.074691986
200712,0.181226456,0.02362576,0.006387137,-0.03520177,0.036261453
200801,-0.093652304,0.038260902,0.003232439,-0.026229934,0.018032988
200802,0.045114996,0.077969187,0.04454619,-0.045526733,0.047872206
200803,-0.200782249,0.021025191,-0.015730529,-0.000109626,-0.016289373
200804,-0.02236899,-0.065463351,0.006079739,0.051004329,-0.029963639
200805,-0.058909795,0.038862828,0.020126806,-0.012865156,0.012966233
200806,-0.241360243,-0.015407199,-0.037614112,0.015731929,-0.024085642
200807,0.044527042,0.081672915,0.005961863,-0.040004457,0.042387486
200808,-0.218656255,-0.013545579,0.01728463,0.019065699,-0.020659367
200809,-0.04249161,-0.071234985,0.04688006,0.020612803,-0.016799817
200810,-0.274331802,0.022323224,0.013091874,-0.014357089,0.05168412
200811,0.165241501,0.044567774,0.000292423,-0.020089,-0.024083235
200812,0.005643732,0.07235989,-0.058976029,-0.04630574,0.013116292
200901,0.130219653,0.027051232,0.004848963,-0.031878909,-0.023953556
200902,0.061095644,0.028254401,0.017955173,-0.045194532,0.041673605
200903,0.187635003,0.05217521,-0.01639017,-0.046037004,-0.021712243
200904,0.059806211,0.014331332,-0.00168263,-0.006533371,0.003821445
200905,0.049691897,0.03798769,-0.001856606,-0.017630036,-0.008201492
200906,0.082614886,-0.024387387,-0.008056188,0.052320035,-0.020594129
200907,0.169555793,-0.035672218,0.084122007,-0.036888795,-0.003267556
200908,-0.1915674,0.039172197,-0.061528436,-0.004615305,0.018696983
200909,0.039082791,-0.011296614,-0.018893032,0.040699327,-0.028955772
200910,0.100346366,0.027308847,0.01615753,-0.025083259,0.033713752
200911,0.109303432,0.048207598,-0.00422387,-0.01351522,0.049717559
200912,0.024465123,0.0179988,0.032925624,-0.016169776,0.012126312
201001,-0.077343947,0.062524449,-0.041583916,-0.022553065,0.038489819
201002,0.037450669,0.037840643,0.007828525,-0.034178768,0.034393404
201003,0.013773378,0.033623698,-0.00008108,-0.006856865,0.017400505
201004,-0.079242228,0.007580053,-0.042527322,0.012136124,0.006715952
201005,-0.089008375,0.004503362,-0.051872486,0.0345909,-0.006598256
201006,-0.092482431,-0.00966492,-0.006916041,-0.000859063,-0.008038988
201007,0.144607793,0.023376162,0.006378089,-0.01232123,0.006718259
201008,0.055639933,0.046026811,-0.063053853,-0.023594629,0.005961112
201009,0.024459788,-0.015748535,-0.030750995,-0.011032855,-0.010626714
201010,0.117963342,-0.042331074,0.005813051,0.008170361,-0.029759988
201011,-0.038305737,0.057811573,-0.045457354,0.01063543,-0.002604339
201012,-0.010766096,-0.002867847,0.015933473,0.019988335,-0.025712978
201101,-0.025178067,-0.018451459,0.058762888,-0.004612106,0.005452488
201102,0.061241997,0.042174704,-0.025169813,-0.055585906,0.03735598
201103,-0.005185615,0.015812416,0.028172638,0.00343852,0.005499749
201104,-0.022112529,-0.006863472,0.012105047,0.015038556,-0.005785707
201105,-0.06978379,-0.001133876,-0.007241954,0.019331593,-0.016770533
201106,0.029961039,0.008515149,-0.011989549,-0.008481688,-0.00303029
201107,-0.008060514,0.017849687,-0.054568716,-0.01145804,-0.006601738
201108,-0.053821563,0.021453126,-0.029097022,0.005916658,-0.02834389
201109,-0.097643875,-0.016924476,0.034519302,0.026347133,0.011049572
201110,0.028395086,0.012315703,-0.003224801,-0.008030492,0.002026154
201111,-0.053769932,0.011165641,-0.03155729,-0.003364673,0.011379852
201112,-0.095586616,-0.067450137,0.053792568,0.107913945,-0.057521181
201201,0.025466431,-0.042083365,0.033987462,0.019513018,0.008384015
201202,0.079007165,0.044090335,-0.03609041,-0.048120422,0.002721802
201203,-0.076929278,0.00690879,-0.003884377,0.01375689,0.005244071
201204,0.058555507,-0.003145186,0.017193383,-0.014095746,-0.016287517
201205,0.002491337,0.015203585,-0.033243722,-0.011099232,-0.018329719
201206,-0.065063871,0.007527343,-0.021777662,0.025099821,-0.019629217
201207,-0.062563104,-0.039405798,0.005698451,0.04106092,-0.03083873
201208,-0.02819893,0.072393719,-0.008451345,-0.052553198,0.043223993
201209,0.02745369,-0.03183115,-0.013356546,0.035308549,-0.037860041
201210,-0.010726071,0.019951882,0.010054991,-0.009885841,0.005755656
201211,-0.076474239,-0.030049617,0.04770246,0.040075765,-0.005220107
201212,0.137441207,0.019123314,-0.002959594,-0.012587162,-0.007213703
201301,0.036694046,0.035879872,-0.010988384,-0.049355479,0.026036944
201302,0.00763913,0.031887628,-0.020214941,-0.021147878,-0.000071986
201303,-0.044633975,0.025334556,-0.024249156,-0.014295013,0.014208534
201304,-0.033265762,-0.000121157,-0.005234792,-0.005857377,-0.014085392
201305,0.084659006,0.070948949,-0.033685182,-0.061911628,0.006337279
201306,-0.146490139,-0.001621207,-0.018742588,0.027373556,-0.016593002
201307,0.04009571,0.038357926,0.000578604,-0.02188679,0.022347824
201308,0.055519241,0.033124294,0.015841168,-0.056963271,0.032363619
201309,0.042476073,0.009806694,0.002346615,-0.026100365,0.019027274
201310,-0.027871841,0.0093418,0.031745843,0.005999582,0.0093558
201311,0.050059035,0.052745477,-0.011581122,-0.035079963,0.0117309
201312,-0.042644229,0.007740806,0.012574611,0.013297956,-0.013139814
201401,-0.018291221,0.071132035,-0.019566683,-0.04112498,0.005319951
201402,0.014719878,0.029810213,0.014239261,-0.024809736,0.032729005
201403,-0.027787932,-0.006173739,0.028938589,0.003547683,0.019621573
201404,-0.014816316,0.00644726,0.004204595,0.012091762,-0.006686691
201405,0.012642708,0.023164635,-0.001558896,-0.028934211,0.010769325
201406,0.025828329,0.034045008,-0.004189283,-0.022975431,0.018723216
201407,0.074750871,0.00259662,0.051589002,-0.010238332,0.023859169
201408,0.027870211,0.045464433,-0.021344946,-0.045677949,0.010802391
201409,0.08967552,0.086864605,-0.000594412,-0.092979783,0.046210441
201410,0.012604684,0.000107585,0.015819276,-0.003180103,0.013475167
201411,0.056411574,0.003373229,0.043403547,-0.000157406,0.010759251
201412,0.093338732,-0.159639655,0.157275205,0.154014882,0.006124348
201501,0.039439879,0.023626844,-0.070215279,-0.019180748,-0.038032287
201502,0.050331588,0.027133464,-0.040387514,-0.026711142,-0.016955149
201503,0.171430846,0.081848064,-0.027205835,-0.073874015,0.002841546
201504,0.199301175,0.00592351,0.063780766,-0.042292001,0.093103487
201505,0.11338862,0.167927266,-0.179506241,-0.153583437,0.009931539
201506,-0.090464585,-0.030230144,0.105407386,0.032423188,0.015128015
201507,-0.161064496,-0.056042677,-0.013125125,0.072046558,-0.009221511
201508,-0.142842101,0.007374854,0.022063437,-0.023080487,0.033252691
201509,-0.064157251,0.033782524,-0.048677982,0.033067435,-0.038955941
201510,0.161175589,0.08352188,-0.058836331,-0.094335197,-0.031302185
201511,0.027667957,0.114299284,-0.028113771,-0.042211337,-0.03119008
201512,0.04115032,0.063950506,-0.005047736,-0.00088996,-0.008662156
201601,-0.265316866,-0.045672187,0.035226316,0.080223701,0.027188496
201602,-0.020939765,0.002675445,0.020156543,-0.00285246,0.012946969
201603,0.14412448,0.061842722,-0.030298935,-0.044945803,-0.046467322
201604,-0.022269671,0.02852938,0.016570268,0.007090277,0.008772516
201605,-0.011214514,-0.021148455,-0.018316412,0.018690691,-0.016195914
201606,0.029176152,0.039252556,-0.029862932,-0.025357018,-0.016436861
201607,0.017227847,-0.022937231,0.058902577,0.030756328,0.007234568
201608,0.034398554,0.032703318,0.013847919,-0.005060202,0.003798976
201609,-0.020996554,0.036897688,0.012865577,-0.002572356,-0.0012869
201610,0.032252196,0.018628198,0.01684593,-0.015809893,0.0135594
201611,0.037363838,0.004472996,0.035216709,0.006171855,0.020338128
201612,-0.045324795,0.027226399,0.035603506,0.009259917,0.046046244
201701,0.005439767,-0.033668896,0.043061399,0.022366594,0.042441954
201702,0.029296415,0.011719006,0.004458201,-0.01726838,-0.015558923
201703,-0.005990434,-0.025361395,0.006929065,0.045643983,-0.030922807
201704,-0.02484349,-0.052536065,0.033813175,0.067227643,-0.030877797
201705,-0.038092118,-0.05082008,0.021525561,0.070149636,-0.004530879
201706,0.048007362,-0.019849963,-0.00416448,-0.00671933,-0.026054804
201707,0.018030434,-0.014432392,0.060366827,-0.019428889,0.049605788
201708,0.018742372,0.004566298,-0.029582126,-0.018147651,0.003266318
201709,0.015795088,-0.006066027,-0.02629556,0.004851799,-0.02610319
201710,0.015093393,-0.054277663,-0.009814763,0.055846182,-0.059272807
201711,-0.03389608,-0.033667435,0.041363085,0.048244892,0.009794291
201712,0.004575871,-0.029295071,-0.000521706,0.03264349,-0.023746926
201801,0.021350511,-0.055626195,0.0595833,0.082320562,0.003487491
201802,-0.047140627,-0.01531006,-0.025359301,-0.009722333,-0.031268539
201803,-0.005750704,0.039371148,-0.081958088,-0.052522748,-0.036092584
201804,-0.036901706,-0.009259898,-0.006907798,0.018380848,0.020984237
201805,0.012185633,-0.033536883,-0.003701219,0.071064215,-0.013122668
201806,-0.082491996,-0.026353941,0.007953527,0.049693444,0.001793739
201807,0.001383317,0.016072382,0.039847415,-0.008420727,0.033663214
201808,-0.065983566,-0.002890689,0.02847299,-0.004901081,0.040261183
201809,0.018517824,-0.02654721,0.020726937,0.026104124,0.045958278
201810,-0.111910813,0.032394927,0.034291546,-0.015879914,0.035369665
201811,0.020592089,0.046099015,-0.021146635,-0.048683951,-0.030646776
201812,-0.039111278,-0.00261878,-0.006235045,0.007795413,0.016386166
201901,0.021971485,-0.056882782,0.013390444,0.051263365,-0.026736807
201902,0.161568725,0.063131607,-0.031454825,-0.102797084,-0.024136204
201903,0.080278365,0.031688765,-0.023809136,-0.044636443,-0.022287853
201904,-0.017474327,-0.019393475,0.006732187,0.041378,-0.007724453
201905,-0.060885665,0.012326156,-0.008834469,-0.012070965,0.028536678
201906,0.026074734,-0.038069121,-0.03041424,0.039813847,-0.015282252
201907,-0.006205142,-0.019901043,-0.019496635,0.025414241,-0.020683293
201908,0.0005443,-0.021690282,-0.06748669,0.024426281,-0.05493348
201909,0.002149565,0.01690574,-0.006263019,0.0205787,-0.007903688
201910,0.003127452,-0.010082416,-0.017814696,0.007227774,-0.024144727
201911,-0.01424826,-0.010944548,0.009658569,0.019227172,0.005144273
201912,0.070125021,0.012899456,0.000407887,0.004447575,-0.01465094
202001,-0.003885042,0.01832546,-0.041891386,0.011945473,-0.016600799
202002,0.000717881,-0.000437866,-0.04015696,-0.007680683,-0.017690874
202003,-0.056973326,0.024310045,0.01639359,-0.021644166,0.00690199
202004,0.049190825,-0.036995163,-0.049284898,0.049352249,-0.060699966
202005,0.009564898,0.01397153,-0.031189809,0.01029028,-0.033380103
202006,0.084948508,-0.006241734,-0.083676788,0.049946479,-0.051897606
202007,0.138571039,-0.004096946,0.009072731,0.004607159,-0.003866496
202008,0.024236825,0.019903194,-0.002531091,0.00743198,-0.003875829
202009,-0.064277707,-0.004436031,0.006511668,0.022518104,-0.012057952
202010,0.010234508,0.002183078,-0.019749897,0.032094711,-0.023096968
202011,0.035103803,-0.022054509,0.07158422,-0.026408335,0.023315361
202012,0.041259547,-0.086235981,-0.040059146,0.086570913,-0.115184504
202101,-0.00118862,-0.092953036,-0.038744167,0.095257194,-0.074006713
202102,0.000277899,0.033580603,0.053618782,-0.036406766,0.048593015
202103,-0.02972557,0.058888073,0.048847796,-0.038736123,0.061134388
202104,0.025439719,-0.020409862,-0.01693648,0.023107771,-0.022535502
202105,0.047563826,0.028355199,-0.009606219,-0.021389086,0.001516145
202106,0.014194328,0.023858568,-0.025723307,-0.014380151,0.010512842
202107,-0.031180248,0.024948071,-0.002867062,-0.081743474,0.021499117
202108,0.036568345,0.010803336,0.10234628,-0.080298388,0.101782555
202109,0.00094772,-0.018977207,0.04064251,0.055413504,-0.004260209
202110,-0.004044905,-0.009442365,-0.076351457,0.01538138,-0.066373031
202111,0.025212651,0.093840872,-0.035844486,-0.025544956,-0.00058891
202112,0.017360239,0.010653015,0.063431449,0.000772396,0.028152466
202201,-0.098944179,0.007327441,0.041028931,0.000122177,0.020254944
202202,0.03276251,0.01880377,0.034507881,-0.028879404,0.05013977
202203,-0.077312652,0.046013224,0.076499833,-0.030368821,0.035733932
202204,-0.084161181,-0.091338715,0.024231766,0.074113916,-0.023301622
202205,0.064359739,0.054700225,-0.010797891,-0.048437373,0.039709252
202206,0.09173485,-0.023082026,-0.077350557,0.018431089,-0.067670844
202207,-0.027954251,0.078123887,0.021186618,-0.050280306,0.054544625
202208,-0.02706472,0.001230251,0.028616158,-0.009541709,0.01280995
202209,-0.07070323,-0.02395397,0.022351933,0.023645238,0.004715524
202210,-0.038797666,0.077598763,-0.009885312,-0.075227919,0.060988813
202211,0.028977775,-0.002893536,-0.011257106,0.006468017,-0.015329488
